1615773602.9268527,69.44,34.3
1615773607.2526035,69.44,34.3
1615773611.5727544,69.44,34.3
1615773615.892712,69.44,34.3
1615773628.8525448,69.44,34.3
1615773633.1729143,69.44,34.3
1615773637.4930184,69.44,34.3
1615773641.8125684,69.44,34.3
1615773646.1325164,69.44,34.3
1615773650.452711,69.44,34.3
1615773654.76992,69.44,34.3
1615773659.0924544,69.44,34.3
1615773663.4127092,69.44,34.4
1615773667.7328253,69.44,34.4
1615773676.372572,69.44,34.4
1615773680.6926248,69.44,34.4
1615773685.012699,69.25999999999999,34.4
1615773689.333024,69.44,34.4
1615773693.6526587,69.25999999999999,34.5
1615773697.9727025,69.25999999999999,34.5
1615773706.6025846,69.25999999999999,34.5
1615773710.922875,69.25999999999999,34.5
1615773715.242681,69.25999999999999,34.5
1615773719.5637553,69.25999999999999,34.5
1615773723.8817344,69.25999999999999,34.5
1615773728.2001512,69.25999999999999,34.6
1615773732.5229383,69.25999999999999,34.5
1615773736.8426392,69.25999999999999,34.6
1615773741.1628258,69.25999999999999,34.6
1615773745.4726694,69.25999999999999,34.6
1615773749.792747,69.25999999999999,34.6
1615773754.1129334,69.25999999999999,34.6
1615773758.4267547,69.25999999999999,34.6
1615773762.752587,69.25999999999999,34.6
1615773767.0726862,69.25999999999999,34.6
1615774066.3751943,68.9,34.7
1615774126.7544737,68.9,34.5
1615774187.082689,69.08,34.4
1615774247.4244676,69.62,34.0
1615774307.805056,70.16,33.6
1615774368.1604366,70.88,33.0
1615774428.545114,71.24000000000001,32.5
1615774488.8917718,71.42,32.4
1615774549.2517202,71.24000000000001,32.7
1615774609.601555,70.88,32.9
1615774730.3416178,70.34,33.2
1615774790.661699,70.16,33.5
1615774851.0320811,69.98,33.8
1615774911.3521142,69.8,33.9
1615774971.7216668,69.62,34.1
1615775032.0916984,69.44,34.2
1615775092.4616818,69.25999999999999,34.4
1615775152.8316529,69.25999999999999,34.4
1615775213.2016048,69.08,34.5
1615775273.5520027,69.08,34.4
1615775394.1438017,68.9,34.4
1615775514.813883,69.62,33.8
1615775575.1516569,70.16,33.4
1615775635.4716532,70.7,32.9
1615775695.7916603,71.24000000000001,32.5
1615775756.1117918,71.6,32.1
1615775816.431694,71.42,32.2
1615775937.1518202,70.7,32.8
1615775997.4916742,70.52,33.1
1615776118.1617582,69.98,33.4
1615776178.5117593,69.8,33.6
1615776238.8816195,69.62,33.8
1615776299.2515788,69.44,33.8
1615776359.6221273,69.44,33.9
1615776480.3616788,69.25999999999999,34.0
1615776601.0317373,69.08,34.1
1615776721.7415688,69.08,34.1
1615776842.4815521,69.8,33.5
1615776902.8516304,70.16,33.2
1615777023.5516846,71.06,32.5
1615777083.9122834,71.06,32.4
1615777144.2818525,70.88,32.6
1615777204.6516182,70.7,32.8
1615777265.0015545,70.52,33.1
1615777325.3216717,70.34,33.2
1615777385.661661,70.16,33.4
